Date,Sector,Person($),Male($),Female($)
11-May,Private,1277.7,1377.1,1084.7
11-Nov,Private,1303.5,1398.7,1108.6
12-May,Private,1321.9,1421.4,1123.5
12-Nov,Private,1369.9,1471,1163.4
13-May,Private,1396.6,1496.4,1184.9
14-May,Private,1426,1539.7,1200.5
13-Nov,Private,1410.5,1510,1205.2
14-Nov,Private,1452.1,1570.2,1223.3
15-May,Private,1454.6,1570.9,1235.8
15-Nov,Private,1468.4,1579.4,1249.5
16-May,Private,1483.3,1587.6,1277.1
16-Nov,Private,1495.7,1602.1,1288.3
17-May,Private,1503.9,1607.8,1298
11-May,Public,1399.8,1493.5,1306.8
17-Nov,Private,1529.5,1634.3,1322.5
11-Nov,Public,1426.9,1525.8,1329.2
18-May,Private,1544.1,1646,1343.3
12-May,Public,1449,1552.6,1348.6
18-Nov,Private,1563.5,1663.8,1370
12-Nov,Public,1491.7,1595.2,1389.8
19-May,Private,1594.7,1696.3,1401.5
13-May,Public,1513.6,1621.9,1408.8
19-Nov,Private,1617.3,1718.2,1423
13-Nov,Public,1538.7,1646.9,1432.3
14-May,Public,1559.9,1666.5,1457.3
14-Nov,Public,1570.8,1674.9,1469
20-May,Private,1673.6,1780.7,1469.1
20-Nov,Private,1669.7,1770.3,1476.2
15-May,Public,1586.6,1691.5,1485.3
21-May,Private,1699.1,1807.4,1490.5
15-Nov,Public,1619.5,1725.4,1518.3
16-May,Public,1640.7,1749,1538.7
16-Nov,Public,1674,1783.8,1571.1
17-May,Public,1686,1784.7,1594.5
17-Nov,Public,1721.5,1826.9,1625.5
18-May,Public,1740,1839.9,1649.8
18-Nov,Public,1766.2,1869.6,1672.3
19-May,Public,1785.4,1891.5,1691
19-Nov,Public,1812.2,1921,1715
20-May,Public,1848.4,1958.3,1751.3
20-Nov,Public,1863.7,1975.4,1763.7
21-May,Public,1880.2,1993.3,1780.6